Tribunal;Magistrado;Mês/Ano Ref.;Subsídio;Direitos Pessoais ;Indenizações ;Direitos Eventuais ;Total de Rendimentos ;Previdência Pública ;Imposto de Renda;Descontos Diversos ;Retenção por Teto Constitucional ;Total de Descontos ;Rendimento Líquido ;Remuneração do órgão de origem ;Diárias 
TRF1;ALAN FERNANDES MINORI;12/2020;32.004,65;0,00;1.629,70;3.911,68;37.546,03;-713,08;-8.191,61;-2.776,36;0,00;-11.681,05;25.864,98;0,00;0,00
TRF1;ALAOR PIACINI;12/2020;33.689,11;5.497,99;910,08;8.235,04;48.332,22;-5.497,99;-8.372,21;-1.600,09;-2.630,83;-18.101,12;30.231,10;0,00;0,00
TRF1;ALBERTO JOSE TAVARES  VIEIRA DA SILVA;12/2020;35.462,22;0,00;0,00;218.304,89;253.767,11;-5.121,81;-16.279,78;-3.054,87;0,00;-24.456,46;229.310,65;0,00;0,00
TRF1;ALCIONE LEMES E SILVA;12/2020;29.629,56;0,00;0,00;217.581,82;247.211,38;-8.461,56;-14.046,22;-865,83;0,00;-23.373,61;223.837,77;0,00;0,00
TRF1;ALCIONI ESCOBAR DA COSTA ALVIM;12/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-5.497,99;-8.320,08;-5.290,43;-5.625,49;-24.733,99;21.094,90;0,00;0,00
TRF1;ALDERICO ROCHA SANTOS;12/2020;33.689,11;0,00;910,08;155.549,55;190.148,74;-4.614,68;-19.653,77;-9.863,02;-5.625,39;-39.756,86;150.391,88;0,00;0,00
TRF1;ALESSANDRA GOMES FARIA BALDINI;12/2020;33.689,11;0,00;910,08;0,00;34.599,19;-713,08;-7.524,39;-3.314,59;0,00;-11.552,06;23.047,13;0,00;0,00
TRF1;ALEX LAMY DE GOUVEA;12/2020;32.004,65;0,00;910,08;9.957,01;42.871,74;-5.177,94;-8.512,38;-630,06;-2.668,34;-16.988,72;25.883,02;0,00;0,00
TRF1;ALEX SCHRAMM DE ROCHA;12/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-5.497,99;-8.267,95;-2.103,64;-5.625,49;-21.495,07;24.333,82;0,00;0,00
TRF1;ALEXANDRE BUCK MEDRADO SAMPAIO;12/2020;33.689,11;0,00;1.629,70;12.874,75;48.193,56;-5.851,72;-8.274,94;-1.449,16;-7.270,54;-22.846,36;25.347,20;0,00;0,00
TRF1;ALEXANDRE FERREIRA INFANTE VIEIRA;12/2020;33.689,11;0,00;910,08;10.481,05;45.080,24;-5.497,99;-8.320,08;-1.257,06;-4.876,84;-19.951,97;25.128,27;0,00;0,00
TRF1;ALEXANDRE HENRY ALVES;12/2020;33.689,11;0,00;1.555,08;10.481,05;45.725,24;-5.497,99;-8.372,22;-355,06;-4.876,84;-19.102,11;26.623,13;0,00;0,00
TRF1;ALEXANDRE JORGE FONTES LARANJEIRA;12/2020;33.689,11;0,00;910,08;142.960,91;177.560,10;-9.252,17;-36.709,37;-3.062,26;-5.625,39;-54.649,19;122.910,91;0,00;0,00
